Pokemon Number,Pokemon Name,Pokemon Type 1,Pokemon Type 2,HP,Attack,Defense,Sp. Attack ,Sp. Defense,Speed,Base Stat Total,Experience Growth,Male %,Female %,Weight (kg),Height (meters),Generation ,Capture Rate,Against Normal,Against Fire,Against Water,Against Electric,Against Grass,Against Ice,Against Fighting,Against Poison,Against Ground,Against Flying,Against Psychic,Against Bug,Against Rock,Against Ghost,Against Dragon,Against Dark,Against Steel,Against Fairy
49,Venomoth,Bug,Poison,70,65,60,90,75,90,450,1000000,50,50,12.5,1.5,1,75,1,2,1,1,0.25,1,0.25,0.5,1,2,2,0.5,2,1,1,1,1,0.5
50,Diglett,Ground,,10,55,25,35,45,95,265,1000000,50,50,0.8,0.2,1,255,1,1,2,0,2,2,1,0.5,1,1,1,1,0.5,1,1,1,1,1
51,Dugtrio,Ground,,35,100,50,50,70,120,425,1000000,50,50,33.3,0.7,1,50,1,1,2,0,2,2,1,0.5,1,1,1,1,0.5,1,1,1,1,1
52,Meowth,Normal,,40,45,35,40,40,90,290,1000000,50,50,4.2,0.4,1,255,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1
53,Persian,Normal,,65,70,60,65,65,115,440,1000000,50,50,32,1,1,90,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1
54,Psyduck,Water,,50,52,48,65,50,55,320,1000000,50,50,19.6,0.8,1,190,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1
55,Golduck,Water,,80,82,78,95,80,85,500,1000000,50,50,76.6,1.7,1,75,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1
56,Mankey,Fighting,,40,80,35,35,45,70,305,1000000,50,50,28,0.5,1,190,1,1,1,1,1,1,1,1,1,2,2,0.5,0.5,1,1,0.5,1,2
57,Primeape,Fighting,,65,105,60,60,70,95,455,1000000,50,50,32,1,1,75,1,1,1,1,1,1,1,1,1,2,2,0.5,0.5,1,1,0.5,1,2
58,Growlithe,Fire,,55,70,45,70,50,60,350,1250000,75.4,24.6,19,0.7,1,190,1,0.5,2,1,0.5,0.5,1,1,2,1,1,0.5,2,1,1,1,0.5,0.5
59,Arcanine,Fire,,90,110,80,100,80,95,555,1250000,75.4,24.6,155,1.9,1,75,1,0.5,2,1,0.5,0.5,1,1,2,1,1,0.5,2,1,1,1,0.5,0.5
60,Poliwag,Water,,40,50,40,40,40,90,300,1059860,50,50,12.4,0.6,1,255,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1
61,Poliwhirl,Water,,65,65,65,50,50,90,385,1059860,50,50,20,1,1,120,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1
62,Poliwrath,Water,Fighting,90,95,95,70,90,70,510,1059860,50,50,54,1.3,1,45,1,0.5,0.5,2,2,0.5,1,1,1,2,2,0.5,0.5,1,1,0.5,0.5,2
63,Abra,Psychic,,25,20,15,105,55,90,310,1059860,75.4,24.6,19.5,0.9,1,200,1,1,1,1,1,1,0.5,1,1,1,0.5,2,1,2,1,2,1,1
64,Kadabra,Psychic,,40,35,30,120,70,105,400,1059860,75.4,24.6,56.5,1.3,1,100,1,1,1,1,1,1,0.5,1,1,1,0.5,2,1,2,1,2,1,1
65,Alakazam,Psychic,,55,50,45,135,95,120,500,1059860,75.4,24.6,48,1.5,1,50,1,1,1,1,1,1,0.5,1,1,1,0.5,2,1,2,1,2,1,1
66,Machop,Fighting,,70,80,50,35,35,35,305,1059860,75.4,24.6,19.5,0.8,1,180,1,1,1,1,1,1,1,1,1,2,2,0.5,0.5,1,1,0.5,1,2
67,Machoke,Fighting,,80,100,70,50,60,45,405,1059860,75.4,24.6,70.5,1.5,1,90,1,1,1,1,1,1,1,1,1,2,2,0.5,0.5,1,1,0.5,1,2
68,Machamp,Fighting,,90,130,80,65,85,55,505,1059860,75.4,24.6,130,1.6,1,45,1,1,1,1,1,1,1,1,1,2,2,0.5,0.5,1,1,0.5,1,2
69,Bellsprout,Grass,Poison,50,75,35,70,30,40,300,1059860,50,50,4,0.7,1,255,1,2,0.5,0.5,0.25,2,0.5,1,1,2,2,1,1,1,1,1,1,0.5
70,Weepinbell,Grass,Poison,65,90,50,85,45,55,390,1059860,50,50,6.4,1,1,120,1,2,0.5,0.5,0.25,2,0.5,1,1,2,2,1,1,1,1,1,1,0.5
71,Victreebel,Grass,Poison,80,105,65,100,70,70,490,1059860,50,50,15.5,1.7,1,45,1,2,0.5,0.5,0.25,2,0.5,1,1,2,2,1,1,1,1,1,1,0.5
72,Tentacool,Water,Poison,40,40,35,50,100,70,335,1250000,50,50,45.5,0.9,1,190,1,0.5,0.5,2,1,0.5,0.5,0.5,2,1,2,0.5,1,1,1,1,0.5,0.5
73,Tentacruel,Water,Poison,80,70,65,80,120,100,515,1250000,50,50,55,1.6,1,60,1,0.5,0.5,2,1,0.5,0.5,0.5,2,1,2,0.5,1,1,1,1,0.5,0.5
74,Geodude,Rock,Ground,40,80,100,30,30,20,300,1059860,50,50,20,0.4,1,255,0.5,0.5,4,0,4,2,2,0.25,2,0.5,1,1,0.5,1,1,1,2,1
75,Graveler,Rock,Ground,55,95,115,45,45,35,390,1059860,50,50,105,1,1,120,0.5,0.5,4,0,4,2,2,0.25,2,0.5,1,1,0.5,1,1,1,2,1
76,Golem,Rock,Ground,80,120,130,55,65,45,495,1059860,50,50,300,1.4,1,45,0.5,0.5,4,0,4,2,2,0.25,2,0.5,1,1,0.5,1,1,1,2,1
77,Ponyta,Fire,,50,85,55,65,65,90,410,1000000,50,50,30,1,1,190,1,0.5,2,1,0.5,0.5,1,1,2,1,1,0.5,2,1,1,1,0.5,0.5
78,Rapidash,Fire,,65,100,70,80,80,105,500,1000000,50,50,95,1.7,1,60,1,0.5,2,1,0.5,0.5,1,1,2,1,1,0.5,2,1,1,1,0.5,0.5
79,Slowpoke,Water,Psychic,90,65,65,40,40,15,315,1000000,50,50,36,1.2,1,190,1,0.5,0.5,2,2,0.5,0.5,1,1,1,0.5,2,1,2,1,2,0.5,1
80,Slowbro,Water,Psychic,95,75,110,100,80,30,490,1000000,50,50,78.5,1.6,1,75,1,0.5,0.5,2,2,0.5,0.5,1,1,1,0.5,2,1,2,1,2,0.5,1
81,Magnemite,Electric,Steel,25,35,70,95,55,45,325,1000000,0,0,6,0.3,1,190,0.5,2,1,0.5,0.5,0.5,2,0,4,0.25,0.5,0.5,0.5,1,0.5,1,0.25,0.5
82,Magneton,Electric,Steel,50,60,95,120,70,70,465,1000000,0,0,60,1,1,60,0.5,2,1,0.5,0.5,0.5,2,0,4,0.25,0.5,0.5,0.5,1,0.5,1,0.25,0.5
83,Farfetch'd,Normal,Flying,52,90,55,58,62,60,377,1000000,50,50,15,0.8,1,45,1,1,1,2,0.5,2,1,1,0,1,1,0.5,2,0,1,1,1,1
84,Doduo,Normal,Flying,35,85,45,35,35,75,310,1000000,50,50,39.2,1.4,1,190,1,1,1,2,0.5,2,1,1,0,1,1,0.5,2,0,1,1,1,1
85,Dodrio,Normal,Flying,60,110,70,60,60,110,470,1000000,50,50,85.2,1.8,1,45,1,1,1,2,0.5,2,1,1,0,1,1,0.5,2,0,1,1,1,1
86,Seel,Water,,65,45,55,45,70,45,325,1000000,50,50,90,1.1,1,190,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1
87,Dewgong,Water,Ice,90,70,80,70,95,70,475,1000000,50,50,120,1.7,1,75,1,1,0.5,2,2,0.25,2,1,1,1,1,1,2,1,1,1,1,1
88,Grimer,Poison,,80,80,50,40,50,25,325,1000000,50,50,30,0.9,1,190,1,1,1,1,0.5,1,0.5,0.5,2,1,2,0.5,1,1,1,1,1,0.5
89,Muk,Poison,,105,105,75,65,100,50,500,1000000,50,50,30,1.2,1,75,1,1,1,1,0.5,1,0.5,0.5,2,1,2,0.5,1,1,1,1,1,0.5
90,Shellder,Water,,30,65,100,45,25,40,305,1250000,50,50,4,0.3,1,190,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1
91,Cloyster,Water,Ice,50,95,180,85,45,70,525,1250000,50,50,132.5,1.5,1,60,1,1,0.5,2,2,0.25,2,1,1,1,1,1,2,1,1,1,1,1
92,Gastly,Ghost,Poison,30,35,30,100,35,80,310,1059860,50,50,0.1,1.3,1,190,0,1,1,1,0.5,1,0,0.25,2,1,2,0.25,1,2,1,2,1,0.5
93,Haunter,Ghost,Poison,45,50,45,115,55,95,405,1059860,50,50,0.1,1.6,1,90,0,1,1,1,0.5,1,0,0.25,2,1,2,0.25,1,2,1,2,1,0.5
94,Gengar,Ghost,Poison,60,65,60,130,75,110,500,1059860,50,50,40.5,1.5,1,45,0,1,1,1,0.5,1,0,0.25,2,1,2,0.25,1,2,1,2,1,0.5
95,Onix,Rock,Ground,35,45,160,30,45,70,385,1000000,50,50,210,8.8,1,45,0.5,0.5,4,0,4,2,2,0.25,2,0.5,1,1,0.5,1,1,1,2,1
96,Drowzee,Psychic,,60,48,45,43,90,42,328,1000000,50,50,32.4,1,1,190,1,1,1,1,1,1,0.5,1,1,1,0.5,2,1,2,1,2,1,1
97,Hypno,Psychic,,85,73,70,73,115,67,483,1000000,50,50,75.6,1.6,1,75,1,1,1,1,1,1,0.5,1,1,1,0.5,2,1,2,1,2,1,1
98,Krabby,Water,,30,105,90,25,25,50,325,1000000,50,50,6.5,0.4,1,225,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1
99,Kingler,Water,,55,130,115,50,50,75,475,1000000,50,50,60,1.3,1,60,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1
100,Voltorb,Electric,,40,30,50,55,55,100,330,1000000,0,0,10.4,0.5,1,190,1,1,1,0.5,1,1,1,1,2,0.5,1,1,1,1,1,1,0.5,1
101,Electrode,Electric,,60,50,70,80,80,150,490,1000000,0,0,66.6,1.2,1,60,1,1,1,0.5,1,1,1,1,2,0.5,1,1,1,1,1,1,0.5,1
102,Exeggcute,Grass,Psychic,60,40,80,60,45,40,325,1250000,50,50,2.5,0.4,1,90,1,2,0.5,0.5,0.5,2,0.5,2,0.5,2,0.5,4,1,2,1,2,1,1
103,Exeggutor,Grass,Psychic,95,95,85,125,75,55,530,1250000,50,50,120,2,1,45,1,2,0.5,0.5,0.5,2,0.5,2,0.5,2,0.5,4,1,2,1,2,1,1
104,Cubone,Ground,,50,50,95,40,50,35,320,1000000,50,50,6.5,0.4,1,190,1,1,2,0,2,2,1,0.5,1,1,1,1,0.5,1,1,1,1,1
105,Marowak,Ground,,60,80,110,50,80,45,425,1000000,50,50,45,1,1,75,1,1,2,0,2,2,1,0.5,1,1,1,1,0.5,1,1,1,1,1
106,Hitmonlee,Fighting,,50,120,53,35,110,87,455,1000000,100,0,49.8,1.5,1,45,1,1,1,1,1,1,1,1,1,2,2,0.5,0.5,1,1,0.5,1,2
107,Hitmonchan,Fighting,,50,105,79,35,110,76,455,1000000,100,0,50.2,1.4,1,45,1,1,1,1,1,1,1,1,1,2,2,0.5,0.5,1,1,0.5,1,2
108,Lickitung,Normal,,90,55,75,60,75,30,385,1000000,50,50,65.5,1.2,1,45,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1
109,Koffing,Poison,,40,65,95,60,45,35,340,1000000,50,50,1,0.6,1,190,1,1,1,1,0.5,1,0.5,0.5,2,1,2,0.5,1,1,1,1,1,0.5
110,Weezing,Poison,,65,90,120,85,70,60,490,1000000,50,50,9.5,1.2,1,60,1,1,1,1,0.5,1,0.5,0.5,2,1,2,0.5,1,1,1,1,1,0.5
111,Rhyhorn,Ground,Rock,80,85,95,30,30,25,345,1250000,50,50,115,1,1,120,0.5,0.5,4,0,4,2,2,0.25,2,0.5,1,1,0.5,1,1,1,2,1
112,Rhydon,Ground,Rock,105,130,120,45,45,40,485,1250000,50,50,120,1.9,1,60,0.5,0.5,4,0,4,2,2,0.25,2,0.5,1,1,0.5,1,1,1,2,1
113,Chansey,Normal,,250,5,5,35,105,50,450,800000,0,0,34.6,1.1,1,30,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1
114,Tangela,Grass,,65,55,115,100,40,60,435,1000000,50,50,35,1,1,45,1,2,0.5,0.5,0.5,2,1,2,0.5,2,1,2,1,1,1,1,1,1
115,Kangaskhan,Normal,,105,95,80,40,80,90,490,1000000,0,0,80,2.2,1,45,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1
116,Horsea,Water,,30,40,70,70,25,60,295,1000000,50,50,8,0.4,1,225,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1
117,Seadra,Water,,55,65,95,95,45,85,440,1000000,50,50,25,1.2,1,75,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1
118,Goldeen,Water,,45,67,60,35,50,63,320,1000000,50,50,15,0.6,1,225,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1
119,Seaking,Water,,80,92,65,65,80,68,450,1000000,50,50,39,1.3,1,60,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1
120,Staryu,Water,,30,45,55,70,55,85,340,1250000,0,0,34.5,0.8,1,225,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1
121,Starmie,Water,Psychic,60,75,85,100,85,115,520,1250000,0,0,80,1.1,1,60,1,0.5,0.5,2,2,0.5,0.5,1,1,1,0.5,2,1,2,1,2,0.5,1
122,Mr. Mime,Psychic,Fairy,40,45,65,100,120,90,460,1000000,50,50,54.5,1.3,1,45,1,1,1,1,1,1,0.25,2,1,1,0.5,1,1,2,0,1,2,1
123,Scyther,Bug,Flying,70,110,80,55,80,105,500,1000000,50,50,56,1.5,1,45,1,2,1,2,0.25,2,0.25,1,0,2,1,0.5,4,1,1,1,1,1
124,Jynx,Ice,Psychic,65,50,35,115,95,95,455,1000000,0,0,40.6,1.4,1,45,1,2,1,1,1,0.5,1,1,1,1,0.5,2,2,2,1,2,2,1
125,Electabuzz,Electric,,65,83,57,95,85,105,490,1000000,75.4,24.6,30,1.1,1,45,1,1,1,0.5,1,1,1,1,2,0.5,1,1,1,1,1,1,0.5,1
126,Magmar,Fire,,65,95,57,100,85,93,495,1000000,75.4,24.6,44.5,1.3,1,45,1,0.5,2,1,0.5,0.5,1,1,2,1,1,0.5,2,1,1,1,0.5,0.5
127,Pinsir,Bug,,65,125,100,55,70,85,500,1250000,50,50,55,1.5,1,45,1,2,1,1,0.5,1,0.5,1,0.5,2,1,1,2,1,1,1,1,1
128,Tauros,Normal,,75,100,95,40,70,110,490,1250000,100,0,88.4,1.4,1,45,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1
129,Magikarp,Water,,20,10,55,15,20,80,200,1250000,50,50,10,0.9,1,255,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1
130,Gyarados,Water,Flying,95,125,79,60,100,81,540,1250000,50,50,235,6.5,1,45,1,0.5,0.5,4,1,1,0.5,1,0,1,1,0.5,2,1,1,1,0.5,1
131,Lapras,Water,Ice,130,85,80,85,95,60,535,1250000,50,50,220,2.5,1,45,1,1,0.5,2,2,0.25,2,1,1,1,1,1,2,1,1,1,1,1
132,Ditto,Normal,,48,48,48,48,48,48,288,1000000,0,0,4,0.3,1,35,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1
133,Eevee,Normal,,55,55,50,45,65,55,325,1000000,88.1,11.9,6.5,0.3,1,45,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1
134,Vaporeon,Water,,130,65,60,110,95,65,525,1000000,88.1,11.9,29,1,1,45,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1
135,Jolteon,Electric,,65,65,60,110,95,130,525,1000000,88.1,11.9,24.5,0.8,1,45,1,1,1,0.5,1,1,1,1,2,0.5,1,1,1,1,1,1,0.5,1
136,Flareon,Fire,,65,130,60,95,110,65,525,1000000,88.1,11.9,25,0.9,1,45,1,0.5,2,1,0.5,0.5,1,1,2,1,1,0.5,2,1,1,1,0.5,0.5
137,Porygon,Normal,,65,60,70,85,75,40,395,1000000,0,0,36.5,0.8,1,45,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1
138,Omanyte,Rock,Water,35,40,100,90,55,35,355,1000000,88.1,11.9,7.5,0.4,1,45,0.5,0.25,1,2,4,0.5,2,0.5,2,0.5,1,1,1,1,1,1,1,1
139,Omastar,Rock,Water,70,60,125,115,70,55,495,1000000,88.1,11.9,35,1,1,45,0.5,0.25,1,2,4,0.5,2,0.5,2,0.5,1,1,1,1,1,1,1,1
140,Kabuto,Rock,Water,30,80,90,55,45,55,355,1000000,88.1,11.9,11.5,0.5,1,45,0.5,0.25,1,2,4,0.5,2,0.5,2,0.5,1,1,1,1,1,1,1,1
141,Kabutops,Rock,Water,60,115,105,65,70,80,495,1000000,88.1,11.9,40.5,1.3,1,45,0.5,0.25,1,2,4,0.5,2,0.5,2,0.5,1,1,1,1,1,1,1,1
142,Aerodactyl,Rock,Flying,80,105,65,60,75,130,515,1250000,88.1,11.9,59,1.8,1,45,0.5,0.5,2,2,1,2,1,0.5,0,0.5,1,0.5,2,1,1,1,2,1
143,Snorlax,Normal,,160,110,65,65,110,30,540,1250000,88.1,11.9,460,2.1,1,25,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1
144,Articuno,Ice,Flying,90,85,100,95,125,85,580,1250000,0,0,55.4,1.7,1,3,1,2,1,2,0.5,1,1,1,0,1,1,0.5,4,1,1,1,2,1
145,Zapdos,Electric,Flying,90,90,85,125,90,100,580,1250000,0,0,52.6,1.6,1,3,1,1,1,1,0.5,2,0.5,1,0,0.5,1,0.5,2,1,1,1,0.5,1
146,Moltres,Fire,Flying,90,100,90,125,85,90,580,1250000,0,0,60,2,1,3,1,0.5,2,2,0.25,1,0.5,1,0,1,1,0.25,4,1,1,1,0.5,0.5
147,Dratini,Dragon,,41,64,45,50,50,50,300,1250000,50,50,3.3,1.8,1,45,1,0.5,0.5,0.5,0.5,2,1,1,1,1,1,1,1,1,2,1,1,2
148,Dragonair,Dragon,,61,84,65,70,70,70,420,1250000,50,50,16.5,4,1,45,1,0.5,0.5,0.5,0.5,2,1,1,1,1,1,1,1,1,2,1,1,2
